This file was created by CrowdingAndGeometryGate as a local offline fixture
mimicking the Ken French Fama/French 3 Factors daily CSV layout
(https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html).
It is intentionally small and synthetic for CI; real fetches go through
ConsensusFactorPanel with HTTPS + size caps and are cached separately.
The header row below is the first parseable date line after metadata.

,Mkt-RF,SMB,HML,RF
20200102,0.86,-0.12,0.21,0.006
20200103,-0.67,0.34,-0.18,0.006
20200106,0.35,-0.22,0.41,0.006
20200107,-0.19,0.15,-0.05,0.006
20200108,0.48,0.08,0.12,0.006
20200109,0.22,-0.31,0.27,0.006
20200110,-0.41,0.19,-0.14,0.006
20200113,0.73,-0.05,0.33,0.006
20200114,-0.28,0.41,-0.22,0.006
20200115,0.15,-0.17,0.09,0.006
20200116,0.61,0.03,0.18,0.006
20200117,-0.52,0.27,-0.31,0.006
20200121,0.39,-0.14,0.24,0.006
20200122,-0.11,0.22,-0.08,0.006
20200123,0.54,-0.09,0.16,0.006
20200124,-0.73,0.31,-0.27,0.006
20200127,0.18,-0.25,0.11,0.006
20200128,0.66,0.07,0.29,0.006
20200129,-0.34,0.18,-0.19,0.006
20200130,0.27,-0.12,0.14,0.006
20200131,-0.89,0.36,-0.42,0.006
20200203,0.44,-0.08,0.21,0.006
20200204,0.71,0.14,0.08,0.006
20200205,-0.23,-0.19,0.33,0.006
20200206,0.12,0.28,-0.15,0.006
20200207,-0.48,0.05,-0.24,0.006
20200210,0.58,-0.21,0.17,0.006
20200211,0.31,0.16,0.05,0.006
20200212,0.19,-0.07,0.22,0.006
20200213,-0.36,0.24,-0.11,0.006
20200214,0.47,-0.13,0.09,0.006
20200218,-0.62,0.29,-0.28,0.006
20200219,0.25,-0.04,0.15,0.006
20200220,-0.15,0.11,-0.06,0.006
20200221,0.53,-0.18,0.31,0.006
20200224,-1.12,0.42,-0.51,0.006
20200225,-0.78,0.33,-0.39,0.006
20200226,0.09,-0.27,0.18,0.006
20200227,-1.45,0.51,-0.62,0.006
20200228,0.38,-0.16,0.24,0.006
20200302,1.21,-0.09,0.37,0.006
20200303,-0.55,0.22,-0.18,0.006
20200304,0.92,-0.14,0.28,0.006
20200305,-0.81,0.37,-0.44,0.006
20200306,-0.39,0.18,-0.21,0.006
20200309,-2.15,0.64,-0.88,0.006
20200310,1.05,-0.23,0.41,0.006
20200311,-1.32,0.48,-0.55,0.006
20200312,-2.48,0.71,-1.02,0.006
20200313,1.88,-0.35,0.67,0.006
20200316,-3.12,0.82,-1.21,0.006
20200317,1.54,-0.28,0.54,0.006
20200318,-1.67,0.55,-0.73,0.006
20200319,0.76,-0.19,0.32,0.006
20200320,-1.05,0.41,-0.48,0.006
20200323,-0.92,0.33,-0.39,0.006
20200324,2.31,-0.41,0.78,0.006
20200325,0.68,-0.12,0.25,0.006
20200326,1.42,-0.27,0.49,0.006
20200327,-0.74,0.29,-0.31,0.006
20200330,0.85,-0.15,0.28,0.006
20200331,-0.41,0.18,-0.14,0.006
20200401,-1.18,0.44,-0.52,0.006
20200402,0.63,-0.11,0.22,0.006
20200403,-0.52,0.25,-0.19,0.006
20200406,1.76,-0.32,0.58,0.006
20200407,0.29,0.08,0.11,0.006
20200408,0.94,-0.21,0.35,0.006
20200409,0.41,-0.06,0.18,0.006
20200413,-0.68,0.27,-0.29,0.006
20200414,1.12,-0.18,0.41,0.006
20200415,-0.35,0.14,-0.12,0.006
20200416,0.58,-0.09,0.21,0.006
20200417,0.72,0.05,0.16,0.006
20200420,-0.48,0.21,-0.18,0.006
20200421,-0.81,0.33,-0.35,0.006
20200422,0.95,-0.16,0.31,0.006
20200423,0.18,0.09,0.07,0.006
20200424,0.44,-0.12,0.19,0.006
20200427,0.67,0.14,0.24,0.006
20200428,-0.22,-0.08,0.11,0.006
20200429,1.05,-0.19,0.38,0.006
20200430,-0.39,0.16,-0.15,0.006
20200501,-0.71,0.28,-0.31,0.006
20200504,0.52,-0.11,0.18,0.006
20200505,0.38,0.07,0.12,0.006
20200506,-0.29,0.19,-0.09,0.006
20200507,0.81,-0.14,0.27,0.006
20200508,0.63,0.04,0.21,0.006
20200511,-0.18,0.12,-0.07,0.006
20200512,-0.55,0.24,-0.22,0.006
20200513,-0.88,0.31,-0.36,0.006
20200514,0.97,-0.17,0.34,0.006
20200515,0.26,-0.05,0.11,0.006
20200518,1.34,-0.24,0.48,0.006
20200519,-0.31,0.13,-0.12,0.006
20200520,0.72,-0.09,0.25,0.006
20200521,-0.14,0.08,-0.05,0.006
20200522,0.19,-0.03,0.09,0.006
20200526,0.58,0.11,0.22,0.006
20200527,0.41,-0.07,0.15,0.006
20200528,-0.09,0.05,-0.03,0.006
20200529,0.33,-0.12,0.14,0.006
